,TCGA.AB.2856.03A,TCGA.AB.2849.03A,TCGA.AB.2971.03A,TCGA.AB.2930.03A,TCGA.AB.2891.03A,TCGA.AB.2872.03A,TCGA.AB.2851.03A,TCGA.AB.3011.03A,TCGA.AB.2949.03B
ENSG00000005339.11,5147,9113,7478,8513,12079,6169,11214,6390,9243
ENSG00000005379.14,2613,16216,8420,4189,6851,33878,2820,2804,12827
ENSG00000005381.7,390571,2077,39937,341510,141460,1065575,13864,193931,32530
ENSG00000005421.7,0,34,1,0,0,0,2,0,1
ENSG00000005436.12,497,1849,542,1070,392,600,560,195,1318
ENSG00000005448.15,840,252,223,1022,252,190,193,362,495
ENSG00000005469.10,231,598,256,445,311,221,231,266,349
ENSG00000005471.14,14,31,59,11,15,45,47,32,4
ENSG00000005483.18,3693,14623,8048,9160,7935,8455,7447,6466,8358
ENSG00000005486.15,1156,483,688,985,647,373,1219,646,698
ENSG00000005513.9,6,47,12,2,3,5,5,10,2
ENSG00000005700.13,1624,4584,2295,3930,2609,2274,2003,1702,2989
ENSG00000005801.15,959,4155,1777,2232,1173,1419,1235,2027,2076
ENSG00000005810.16,7235,15778,16845,18459,16522,10428,10243,8547,16537
ENSG00000005812.9,1027,2942,1455,2137,1085,1323,1942,1470,1749
ENSG00000005844.16,16820,2404,9620,15560,15573,1032,28658,3991,8097
ENSG00000005882.10,762,737,243,1016,780,345,722,322,969
ENSG00000005884.16,49,981,62,32,83,28,49,52,294
ENSG00000005889.14,921,2685,2943,4320,1856,2172,2542,3022,2941
ENSG00000005893.14,6538,7179,6068,9186,4531,5615,7637,4536,10636
ENSG00000005961.16,1614,1034,54,348,255,135,997,107,258
ENSG00000005981.11,0,1,2,0,0,1,0,0,0
ENSG00000006007.10,2483,2420,1242,2084,1230,1075,2339,1254,2472
ENSG00000006015.16,1385,454,672,1583,677,719,925,848,845
ENSG00000006016.9,95,67,86,85,128,85,168,212,125
ENSG00000006025.10,2047,1043,1103,2946,1291,1277,1462,1245,1710
ENSG00000006042.10,3,31,22,11,8,29,2,5,8
ENSG00000006047.11,5,237,7,6,4,4,2,4,35
ENSG00000006059.3,0,0,0,0,0,0,1,0,0
ENSG00000006062.12,835,1000,770,1147,997,406,1809,663,1328
ENSG00000006071.10,1,65,4,0,2,7,2,5,2
ENSG00000006116.3,0,1,0,0,2,1,1,0,0
ENSG00000006118.13,9,338,90,8,17,14,163,18,20
